0.1,0.999,1.0E-4,1381000.0
0.1,0.999,2.0E-4,1242400.0
0.1,0.999,3.0E-4,1161400.0
0.1,0.999,4.0E-4,1103800.0
0.1,0.999,5.0E-4,1059200.0
0.1,0.999,6.0E-4,1022800.0
0.1,0.999,7.0E-4,992000.0
0.1,0.999,8.0E-4,965200.0
0.1,0.999,9.0E-4,941800.0
0.1,0.999,0.001,920600.0
0.15,0.999,1.0E-4,1462000.0
0.15,0.999,2.0E-4,1323400.0
0.15,0.999,3.0E-4,1242400.0
0.15,0.999,4.0E-4,1184800.0
0.15,0.999,5.0E-4,1140200.0
0.15,0.999,6.0E-4,1103800.0
0.15,0.999,7.0E-4,1073000.0
0.15,0.999,8.0E-4,1046400.0
0.15,0.999,9.0E-4,1022800.0
0.15,0.999,0.001,1001800.0
0.2,0.999,1.0E-4,1519600.0
0.2,0.999,2.0E-4,1381000.0
0.2,0.999,3.0E-4,1300000.0
0.2,0.999,4.0E-4,1242400.0
0.2,0.999,5.0E-4,1197800.0
0.2,0.999,6.0E-4,1161400.0
0.2,0.999,7.0E-4,1130600.0
0.2,0.999,8.0E-4,1103800.0
0.2,0.999,9.0E-4,1080200.0
0.2,0.999,0.001,1059200.0
0.25,0.999,1.0E-4,1564200.0
0.25,0.999,2.0E-4,1425600.0
0.25,0.999,3.0E-4,1344600.0
0.25,0.999,4.0E-4,1287000.0
0.25,0.999,5.0E-4,1242400.0
0.25,0.999,6.0E-4,1206000.0
0.25,0.999,7.0E-4,1175200.0
0.25,0.999,8.0E-4,1148400.0
0.25,0.999,9.0E-4,1125000.0
0.25,0.999,0.001,1103800.0
0.3,0.999,1.0E-4,1600600.0
0.3,0.999,2.0E-4,1462000.0
0.3,0.999,3.0E-4,1381000.0
0.3,0.999,4.0E-4,1323400.0
0.3,0.999,5.0E-4,1278800.0
0.3,0.999,6.0E-4,1242400.0
0.3,0.999,7.0E-4,1211600.0
0.3,0.999,8.0E-4,1184800.0
0.3,0.999,9.0E-4,1161400.0
0.3,0.999,0.001,1140200.0
0.35,0.999,1.0E-4,1631400.0
0.35,0.999,2.0E-4,1492800.0
0.35,0.999,3.0E-4,1411800.0
0.35,0.999,4.0E-4,1354200.0
0.35,0.999,5.0E-4,1309600.0
0.35,0.999,6.0E-4,1273200.0
0.35,0.999,7.0E-4,1242400.0
0.35,0.999,8.0E-4,1215800.0
0.35,0.999,9.0E-4,1192200.0
0.35,0.999,0.001,1171200.0
0.4,0.999,1.0E-4,1658000.0
0.4,0.999,2.0E-4,1519600.0
0.4,0.999,3.0E-4,1438400.0
0.4,0.999,4.0E-4,1381000.0
0.4,0.999,5.0E-4,1336400.0
0.4,0.999,6.0E-4,1300000.0
0.4,0.999,7.0E-4,1269000.0
